id,question,ground_truth
0,Which is the impact indicator whose measure unit is disease incidence?,"The impact indicator measured as disease incidence is the Particulate Matter, or PM"
1,Which are the modules or stages studied during the life cycle assessment of a product?,"The modules or stages studied in the life cycle assessment of a product include:\n- Module A1: Retrieval of raw materials\n- Module A2: Transportation of raw materials\n- Module A3: Core activities of the DecoralÂ® Group's facilities\n- Module A4: Road transportation of the declared unit (1 m2 of sheet metal and packaging) to the installation site\n- Module A5: Installation process of 1 m2 of sheet metal on-site\n- Module C1: Removal of sheets at the end of their useful life or at the end of the building in which they are installed\n- Module C2: Transportation of end-of-life products to waste treatment centers\n- Module C3: Preparation and treatment processes of waste for recycling or energy recovery\n- Module C4: Disposal of inert product in landfill\n- Module D: Potential environmental loads and benefits related to material reuse, recovery, and recycling."
2,"For Flexible Bitumen Sheets For Roof Waterproofing, what is the potential environmental impact of System 1 (SINGLE LAYER FULLY TORCHED) during stage A1 in terms of the GWP-fossil?","For System 1, which involves Single Layer Fully Torched application, the potential environmental impact in stage A1 assessed in terms of Global Warming Potential (GWP-fossil) is 3.32E-02 kg CO2 eq."
3,"For Flexible Bitumen Sheets For Roof Waterproofing, what is the potential additional environmental impact during phase A3 of System 1 (SINGLE LAYER FULLY TORCHED) in terms of PM?","For System 1 (Single Layer Fully Torched), the potential additional environmental impact during phase A3 in terms of PM is is 9.37E-11 per functional unit (FU)."
4,"For Flexible Bitumen Sheets For Roof Waterproofing, what is the potential environmental impact of System 1 (SINGLE LAYER FULLY TORCHED) during stage A3 in terms of GWP-biogenic?","In the context of System 1 (SINGLE LAYER FULLY TORCHED), the potential environmental impact of GWP-biogenic during the stage A3 is -2.74E-03 kg CO2 eq."
5,"For Flexible Bitumen Sheets For Roof Waterproofing, what are the components of the product specification?","According to the product specification of Flexible Bitumen Sheets For Roof Waterproofing, the components are: Bitumen, Polymers (Polyolefins, SBS), Reinforcements (â€¦), Minerals (â€¦) and Others (â€¦)."
6,"According to the EWA's EPD, what are components needed for producing waterproofing systems for flexible bitumen sheets used in roof waterproofing, and which are their weights?","The components and their weights are bitumen (45-52%), polymers (6-10%), reinforcement (2-4%), minerals as fillers or finishing (30-41%) and other materials (3-5%)."
7,"For FLAT SHEET IN FIBER CEMENT, regarding a natural color sheet with 4 mm of thickness, what is the use of renewable primary energy resources used as feedstock for the stage A1 Raw material supply?","For a flat sheet of fiber cement with 4 mm of thickness, the use of renewable primary energy resources as raw materials in the A1 Raw Material Supply stage is 1.20E+01 MJ."
8,"For FLAT SHEET IN FIBER CEMENT, regarding a natural color sheet with 6 mm of thickness, what is the use of NON-RENEWABLE primary energy resources used as raw materials for the A3 Production Process stage?",The use of NON-RENEWABLE primary energy resources as raw materials in the A3 Production Process for FLAT SHEET IN FIBER CEMENT with 6 mm of thickness is 1.11E+00 MJ.
9,"For FLAT SHEET IN FIBER CEMENT, regarding a natural color sheet with 5 mm of thickness, what is the amount of Hazardous waste disposed during phase A2 Transport?",The values for FLAT SHEET IN FIBER CEMENT of Hazardous waste disposed during A2 Transport phase is 5.53E-03 KG.
10,"For FLAT SHEET IN FIBER CEMENT, regarding a natural color sheet with 5 mm of thickness, what is the value of the Global Warming Potential (GWP) in stage A1 Raw material supply?",The value of the Global Warming Potential in stage A1 is 6.48E+00 kg CO2 eq.
11,"For FLAT SHEET IN FIBER CEMENT, regarding a natural color sheet with 4 mm of thickness, what is the Acidification Potential, AP, in A2 Transport stage?","For FLAT SHEET IN FIBER CEMENT, the Acidification Potential, AP, during the A2 Transport stage is 2.31E-03 kg SO2 eq."
12,"What are the specific details about the content percentages of carbon, silicon, manganese, and titanium in cold rolled formable steel (DC01)?","The specific details about the content percentages of carbon, silicon, manganese, and titanium in cold rolled formable steel (DC01) are as follows:\n\n- Carbon (C) content is less than 0.12%\n- Silicon (Si) content is less than 0.50%\n- Manganese (Mn) content is less than 0.60%\n- Titanium (Ti) content is less than 0.30%"
13,"What is the total non-renewable primary energy use (excluding non-renewable primary energy resources used as raw materials) per 1,000 kg of cold rolled steel sheets and coils in stages A1-A3, according to the EN15804+A1 versions of the indicators?","The total non-renewable primary energy use (excluding non-renewable primary energy resources used as raw materials) per 1,000 kg of cold rolled steel sheets and coils, according to the EN15804+A1 versions of the indicators, is 2.60E+04 MJ, net calorific value."
14,"List the parameters on which the environmental impacts per 1,000 kg of of cold rolled steel sheets and coils are measured, based on EN15804+A1 indicators.","The parameters are Global warming potential (GWP), Euthropication potential (EP), Acidification potential (AP), Photo-oxidant formation potential (POCP), Ozone layer depletion potential (ODP), Abiotic depletion potential: fossil (ADP-fossil), Abiotic depletion potential: elements (ADP-elements)."
15,"What is the total potential environmental impact of 1,000 kg of cold rolled steel sheets and coils in terms of depletion of abiotic resources - minerals and metals (ADP-minerals & metals) in the phase C4, according to the EN15804+A2 versions of indicators?",The total potential environmental impact in terms of depletion of abiotic resources - minerals and metals (ADP-minerals & metals) in phase C4 is 7.32E-08 kg Sb eq.
16,"For Cold rolled steel sheets and coils, what is the content of iron for Weather resistant steel?",The content of iron (Fe) in the composition of Weather Resistant Steel is stated to be greater than 96%.
17,"What is the global warming potential (GWP) associated with the production of 1 ton of cold-rolled steel in stages A1-A3 according to the units provided, following the EN 15804+A1 versions of the indicators?",The global warming potential (GWP) associated with the production of 1 ton of cold-rolled steel in stages A1-A3 is specified as 2.34E+03 kg CO2 eq.
18,"How many kilograms of hazardous waste are disposed of per 1,000 kg of cold-rolled steel sheets and coils, based on the units provided in step A1-A3?","For every 1,000 kg of cold-rolled steel sheets and coils, the amount of hazardous waste disposed is 8.98E+00 kg."
19,"For Cold rolled steel sheets and coils, what is the value of the eutrophication potential (EP) for stage C3? ",The eutrophication potential (EP) for stage C3 is specified as 4.22E-03 kg PO4 eq.
20,In which unit is expressed the parameter Hazardous waste disposed of the cold rolled steel sheets and coils?,The Hazardous waste disposed of cold rolled steel sheets and coils is expressed in kg.
21,What is the potential environmental impact GWP-fossil in kg CO2 equivalent for 1 kg of coated aluminum foil for stages A1-A3?,"The GWP-fossil per 1kg of coated aluminium foil for stages A1-A3 is 10,48 kg CO2 eq."
22,What is the resource consumption indicator PERE in MJ per 1 kg of coated aluminum sheet in stage C2?,"The PERE per 1kg of coated aluminium sheet for stage C2 is 0,003MJ."
23,What is the GWP-Luluc Environmental Impact Potential of coated aluminium for stage A5?,"The GWP-Luluc Environmantal Impact Potential of coated aluminium in stage A5 is 7,69E-05 kg CO2 eq."
24,What is the value of the PERM indicator for Installation stage A4 of coated aluminium?,The PERM indicator of coated aluminium for stage A4 is 0 MJ.
25,What is the standard GRP coil and sheet maximum length if the thickness range is 2â‰¤Tâ‰¤3 and the width range is 900 â€“ 1 070?,The maximum length is 4000 mm.
26,"What is th sum of all environmental impacts of GWP-fossil per 1 ton of ASTM/ASME Hot Rolled Coil and Sheet, according to EN 15804:2012+A2:2019?",The sum of all environmental impacts of GWP from fossil sources is assessed per 1 ton of ASTM/ASME Hot Rolled Coil and Sheet is 2818.73 kg CO2 eq.
27,"What is the environmental impact of EP-terrestrial per 1 ton of ASTM/ASME Hot Rolled Coil and Sheet during stage C2, according to EN 15804:2012+A2:2019?",The environmental impact of EP-terrestrial is evaluated per 1 ton of ASTM/ASME Hot Rolled Coil and Sheet in stage C2 is 0.51 mol N eq..
28,"Which of the indicators, GWP-fossil, GWP-biogenic or GWP-luluc, has a greater potential environmental impact during stage C3 per ton of ASTM/ASME hot rolled coil?",The one that exhibits the greatest environmental impact per ton of ASTM/ASME hot rolled coil during stage C3 is GWP-fossil.
29,"In the case of Hot-Dipped Galvanized Steel Sheets, what is the total weight percentage (versus the product) of the packaging materials?",The total weight percentage of the packaging materials for Hot-Dipped Galvanized Steel Sheets is 0.66%.
30,Which indicator of the output flows is reported as non-null during any stage of the life cycle of Hot-Dipped Galvanized Steel Sheets?,"The indicator in the life cycle of Hot-Dipped Galvanized Steel Sheets where the production of material for recycling that is reported as non-null is the Material for recycling, which has a value of 4.03E-01 kg for the A3 module."
31,What is the value of EP-terrestrial for the Hot-Dipped Galvanized Steel Sheets in the C4 stage?,The value of EP-terrestrial for Hot-Dipped Galvanized Steel Sheets in the C4 stage is 1.58E-01 mol N eq.
32,What is the value of Acidification Potential (AP) for module A1 in the case of Hot-Dipped Galvanized Steel Sheets?,The value of Acidification Potential (AP) for module A1 in the case of Hot-Dipped Galvanized Steel Sheets is 6.39E+00 mol H+ eq.
33,"For Hot-Dipped Galvanized Steel Sheets, what is the value of PERM in the module A3?",The value of PERM for Hot-Dipped Galvanized Steel Sheets in the A3 stage is 3.53E+01 MJ.
34,"For Hot-Dipped Galvanized Steel Sheets, what is the value of Non-hazardous waste disposed in the module A3?",The value of Non-hazardous waste disposed for Hot-Dipped Galvanized Steel Sheets in the A3 stage is 1.37E-01 kg.
35,"For SHEET PILES ECO PREMIUM, what is the value of Depletion potential of the stratospheric ozone layer (ODP) in module A2?",The Depletion Potential of the stratospheric ozone layer (ODP) value for SHEET PILES ECO PREMIUM in module A2 is 4.11E-05 kg CFC 11 eq.
36,"For SHEET PILES ECO PREMIUM, what unit is used to measure Potential Soil Quality Index (SQP)?",The Potential Soil Quality Index (SQP) for SHEET PILES ECO PREMIUM is dimensionless.
37,"For SHEET PILES ECO PREMIUM, what is the amount of Biogenic carbon content in the packaging?",The Biogenic carbon content in the packaging for SHEET PILES ECO PREMIUM is 6.71E+00 kg C.
38,Which is the weight of low alloyed steel component of the SHEETS PILES ECO PREMIUM?,The weight of low-alloyed steel in SHEET PILES ECO PREMIUM is 970.4 kg. 
39,"For SHEET PILES ECO PREMIUM, what is the value of EP-marine in module C1?",The value of EP-marine for SHEET PILES ECO PREMIUM in Module C1 is 4.83E+04 kg N eq.
40,For which modules of the SHEET PILES ECO PREMIUM life cycle assessment is the indicator of Formation potential of tropospheric ozone (POCP) null?,"The indicator of Formation Potential of Tropospheric Ozone (POCP) for SHEET PILES ECO PREMIUM is null for modules C3, C4, and D"
41,"For RENOLIT ALKORPLAN A, are there any non-null values of Use of non-renewable primary energy resources used as raw materials (PENREM) between the all the phases?","Yes, the non-null value is 2,54E+01, corresponding to A1-A3 phases."
42,"During the transport stage of RENOLIT ALKORPLAN A (1.5 mm), what is the level of capacity utilization achieved?","The transportation of RENOLIT ALKORPLAN A (1.5 mm) achieves a capacity utilization, including empty returns, of 98%."
43,"For RENOLIT ALKORPLAN A (1.5 mm), what is the value of Global warming potential (GWP) - GHG for Installation stage A4? ","For RENOLIT ALKORPLAN A (1.5 mm), the Global Warming Potential (GWP) - GHG for Installation stage A4 is 1,11E-01 kg CO2 eq."
44,"For RENOLIT ALKORPLAN A (1.5 mm), what is the value of hazardous waste disposed (HWD) for stage D?","The amount of hazardous waste disposed during stage D is -1,31E-07 kg."
45,"For RENOLIT ALKORPLAN A (1.5 mm), what is the value of Ionising radiation, human health (IRP) for stage C1?","For RENOLIT ALKORPLAN A (1.5 mm), the value of Ionising radiation, human health (IRP) is 0,00E+00 kBq U235 eq."
46,What is the specified weight percentage range of reworked PVC-P for RENOLIT ALKORPLAN A (1.5 mm)?,The weight percentage range of reworked PVC-P for RENOLIT ALKORPLAN A (1.5 mm) is 20-30%.
47,"For RENOLIT ALKORPLAN F (1.5 mm / 1.60 m), what is the value of Biogenic carbon content in product during the phase A1 -A3?","For RENOLIT ALKORPLAN F (1.5 mm / 1.60 m), the value of Biogenic carbon content in the product during the A1-A3 phase is -3.66E-04 Kg C"
48,In which range is the weight percentage composition of plasticizer in RENOLIT ALKORPLAN F (1.5 mm / 1.60 m)?,The plasticizer composition in RENOLIT ALKORPLAN F (1.5 mm / 1.60 m) is in the range of 10-25%. 
49,What is the specification of the Tear resistance (nail) characteristic of RENOLIT ALKORPLAN F (1.5 mm / 1.60 m)?,The Tear resistance (nail) of RENOLIT ALKORPLAN F (1.5 mm / 1.60 m) is >= 400 N.
50,"What is the maximum load capacity of the vehicle used during the Transport stage of RENOLIT ALKORPLAN F (1,5 mm / 1,60 m)?",The truck employed for transporting RENOLIT ALKORPLAN F (1.5 mm / 1.60 m) has a maximum load capacity of 17.3 tons.
51,"As for RENOLIT ALKORPLAN F (1,5 mm / 1,60 m), how many kilograms of disposal are directed to a landfill in the End-of-Life stage (C1-C4)?","For RENOLIT ALKORPLAN F (1,5 mm / 1,60 m), in the End-of-Life stage (C1-C4), 0.624 kg of disposal is specified for landfilling."
52,What is the biogenic carbon content in product of the phase A4 for RENOLIT ALKORPLAN L?,"The biogenic carbon content in product is 0,00E+00."
53,In which phase the exported energy output flow of the RENOLIT ALKORPLAN L is non-null?,The only phase where the exported energy is non-null is phase D.
54,What ancilliary materials are used for the installation of RENOLIT ALKORPLAN L (1.5 mm) sheet?,"The ancillary material used for the installation of RENOLIT ALKORPLAN L (1.5 mm) sheet is gravel ballast, and the specified amount is 80 kg."
55,"Is there at least a kg of waste materials on the building site before waste processing, both for re-use and recycling, during the construction or installation process for RENOLIT ALKORPLAN L (1.5 mm)?","No, there is not at least a whole kilogram of re-use and recycling materials during the construction or installation process for the RENOLIT ALKORPLAN L (1.5 mm) sheet. The total amount is 0.066 kg, which is less than 1 kg. This includes 0.060 kg of materials for re-use and 0.006 kg of materials for recycling."
56,"For the RENOLIT ALKORPLAN L (1.5 mm) sheet, what are the Use of renewable secondary fuels (RSF) and the Use of non-renewable secondary fuels (NRSF) during the stage C2?","For RENOLIT ALKORPLAN L (1.5 mm), there is no use of renewable secondary fuels (RSF) or non-renewable secondary fuels (NRSF) reported during the stage C2. The value is 0.00 MJ for both RSF and NRSF."
57,"For the RENOLIT ALKORPLAN L (1.5 mm) sheet, what is the highest value of use of renewable primary energy (PERE) among all the measured modules?","For RENOLIT ALKORPLAN L (1.5 mm), the highest value of use of renewable primary energy (PERE) is found in the module ""Manufacture A1 - A3"" with a value of 26.2 MJ."
58,"For RENOLIT ALKORTEC F (1.5 mm) sheet, what is the resource use-fossil value of Module D?",The fossil resource use value for Module D in the life cycle assessment of the RENOLIT ALKORTEC F (1.5 mm) sheet is -1.14E+01 MJ.
59,"For RENOLIT ALKORTEC F (1.5 mm) sheet, are there any modules in which the Biogenic carbon content in product is positive?","No, there are no positive values in the Biogenic carbon content in the product for any of the assessed modules (A1-A3, A4, A5, C1, C2, C3, C4, D) in the environmental performance of RENOLIT ALKORTEC F (1.5 mm) sheet. All values are reported as zero or negative."
60,"For RENOLIT ALKORTEC F (1.5 mm) sheet, which product components have a percentage of weight less than 1%?",The product components 'Others (Antioxidant and Silica)' and 'Flame Retardant' of the RENOLIT ALKORTEC F (1.5 mm) sheet have a weight percentage of less than 1%.
61,"For RENOLIT ALKORTEC F (1.5 mm) sheet, what is the difference in Particulate matter (PM) between modules A4 and A5?",The difference in Particulate matter (PM) in the environmental performance of RENOLIT ALKORTEC F (1.5 mm) sheet between modules A4 and A5 is 3.447E-08 [Disease incidences].
62,"For RENOLIT ALKORTEC F (1.5 mm) sheet, what is the difference in value between the environmental impact indicators Eutrophication - freshwater and Eutrophication - marine during Manufacture module (A1-A3)?","The difference in values between Eutrophication - freshwater and Eutrophication - marine during the Manufacture module (A1-A3) of the RENOLIT ALKORTEC F (1.5 mm) sheet is -0,0018179 kg N eq."
63,Can you list the product components of RENOLIT ALKORTEC F (1.5 mm) sheet?,"Product components of RENOLIT ALKORTEC F (1.5 mm) sheet are talk, processing aids, colour pigments, plasticizer, polyvinyl chloride (PVC), reworked PVC-P, reinforcing material, embedded polyester scrim, thermal stabilizer, soja oil and flame retardant."
64,What is the reference service life of RENOLIT ALKORPLAN F Bright / Cool?,The reference service life of RENOLIT ALKORPLAN F Bright / Cool is 30 years.
65,"For RENOLIT ALKORTEC F Bright/Cool sheet, what is the highest value of Non-hazardous waste disposed (NHWD) indicator among every module?",The highest value among every module for Non-hazardous waste disposed (NHWD) in RENOLIT ALKORTECF Bright/Cool sheet is 1.21 kg in the Manufacture stage (A1 - A3).
66,"For RENOLIT ALKORTEC F Bright/Cool sheet, which stage has the maximum value of Human toxicity, non-cancer (HTPnc) indicator?","For RENOLIT ALKORTECF Bright/Cool sheet, the stage with the maximum value of Human toxicity, non-cancer (HTPnc) is A1 - A3 (Manufacture). It has a value of 6.25E-07 [CTUh]."
67,"For RENOLIT ALKORTEC F Bright/Cool sheet, enumerate which product components percentages of weight are strictly less than 5%.","For the RENOLIT ALKORTECF Bright/Cool sheet, the product components with percentages of weight less than 5% are:\n1. Reinforcing material, embedded polyester scrim: <5%\n2. Thermal stabilizer: 1-2%\n3. Soja oil: <1%\n4. Flame retardant: <1%\n5. Others (binders, solvents, and dispersant additive): <1%"
68,"According to the Transport stage (A4) of RENOLIT ALKORPLAN F Bright/Cool sheet, what is the bulk density of the transported products?",The bulk density of the transported products is 1.250 kg/m3.
69,What is the reference service life of RENOLIT ALKORPLAN F Smart?,The reference service life of RENOLIT ALKORPLAN F Smart is 30 years.
70,What is the weight in kg of the PE foil packaging layer of RENOLIT ALKORPLAN F Smart?,"The weight of the PE foil packaging layer is 0,001 kg."
71,What is the total weight percentage of the packaging materials in RENOLIT ALKORPLAN F Smart?,The total weight percentage of the packaging materials in RENOLIT ALKORPLAN F Smart is 5.74%.
72,"Regarding potential environmental impacts of RENOLIT ALKORPLAN F Smart, what is the highest value of Resource use, mineral and metals - minerals&metals between all units?","For RENOLIT ALKORPLAN F Smart, the highest value of Resource use, mineral and metals - minerals&metals among all units is 7.90E-06 [kg Sb eq.], which corresponds to the A5 stage."